Plot_ID,no_of_images,total_pod_count,average_pod_count,wt (kg)
2-104,22,3654,166.0909091,1.76
2-105,25,4302,172.08,2.63
2-106,29,3345,115.3448276,2.88
2-107,24,1728,72,2.68
2-108,21,3656,174.0952381,2.58
2-109,19,2672,140.6315789,3.01
2-110,28,3773,134.75,2.29
2-111,25,2692,107.68,2.13
2-112,23,4049,176.0434783,1.74
2-113,20,3352,167.6,2.76
2-201,29,3873,133.5517241,2.14
2-202,28,4765,170.1785714,2.65
2-203,29,4024,138.7586207,2.89
2-204,20,1720,86,2.93
2-205,20,3294,164.7,2.66
2-206,24,3763,156.7916667,2.97
2-207,22,3473,157.8636364,2.82
2-208,24,4004,166.8333333,2.38
2-209,26,2246,86.38461538,2.28
2-210,23,3125,135.8695652,2.47
2-211,24,2222,92.58333333,2.77
2-212,31,4627,149.2580645,2.48
2-213,26,4042,155.4615385,2.8
2-301,22,1788,81.27272727,3.22
2-302,22,3120,141.8181818,1.9
2-303,26,3679,141.5,2.52
2-304,26,2791,107.3461538,3.2
2-305,24,3842,160.0833333,2.94
2-306,25,2357,94.28,2.63
2-306,28,4817,172.0357143,2.35
2-307,24,3417,142.375,2.17
2-308,22,1132,51.45454545,2.36
2-310,17,2202,129.5294118,2.79
2-310,29,4771,164.5172414,2.41
2-311,19,1131,59.52631579,2.7
2-312,22,2838,129,2.41
2-313,13,1384,106.4615385,3.01
